; ------------------------------------------------
; |       SCELBI'S GALAXY GAME       |
; |           FOR THE 8080           |
; ------------------------------------------------
+ Print Program Bytes and description.
++ Address:16-bit bytes       databyte :hex:oct > description
++      70:00000000 01000110: 00000000 : 00:000 > dbbyte: 000
++      71:00000000 01000111: 00000000 : 00:000 > dbbyte: 000
++      72:00000000 01001000: 00000000 : 00:000 > dbbyte: 000
++      73:00000000 01001001: 00000000 : 00:000 > dbbyte: 000
++      74:00000000 01001010: 00000000 : 00:000 > dbbyte: 000
++      75:00000000 01001011: 00000000 : 00:000 > dbbyte: 000
++      76:00000000 01001100: 00000000 : 00:000 > dbbyte: 000
++      77:00000000 01001101: 00000000 : 00:000 > dbbyte: 000
++      78:00000000 01001110: 00000000 : 00:000 > dbbyte: 000
++      79:00000000 01001111: 00000000 : 00:000 > dbbyte: 000
++      80:00000000 01010000: 00000000 : 00:000 > dbbyte: 000
++      81:00000000 01010001: 00000000 : 00:000 > dbbyte: 000
++      82:00000000 01010010: 00000000 : 00:000 > dbbyte: 000
++      83:00000000 01010011: 00000000 : 00:000 > dbbyte: 000
++      84:00000000 01010100: 00000000 : 00:000 > dbbyte: 000
++      85:00000000 01010101: 00000000 : 00:000 > dbbyte: 000
++      86:00000000 01010110: 00000000 : 00:000 > dbbyte: 000
++      87:00000000 01010111: 00000000 : 00:000 > dbbyte: 000
++      88:00000000 01011000: 00000000 : 00:000 > dbbyte: 000
++      89:00000000 01011001: 00000000 : 00:000 > dbbyte: 000
++      90:00000000 01011010: 00000000 : 00:000 > dbbyte: 000
++      91:00000000 01011011: 00000000 : 00:000 > dbbyte: 000
++      92:00000000 01011100: 00000000 : 00:000 > dbbyte: 000
++      93:00000000 01011101: 00000000 : 00:000 > dbbyte: 000
++      94:00000000 01011110: 00000000 : 00:000 > dbbyte: 000
++      95:00000000 01011111: 00000000 : 00:000 > dbbyte: 000
++      96:00000000 01100000: 00000000 : 00:000 > dbbyte: 000
++      97:00000000 01100001: 00000000 : 00:000 > dbbyte: 000
++      98:00000000 01100010: 00000000 : 00:000 > dbbyte: 000
++      99:00000000 01100011: 00000000 : 00:000 > dbbyte: 000
++     100:00000000 01100100: 00000000 : 00:000 > dbbyte: 000
++     101:00000000 01100101: 00000000 : 00:000 > dsname: org : 0
++     102:00000000 01100110: 00000000 : 00:000 > dsname: org : 0
++     103:00000000 01100111: 00000000 : 00:000 > dsname: org : 0
++     104:00000000 01101000: 00000000 : 00:000 > dsname: org : 0
++     105:00000000 01101001: 00000000 : 00:000 > dsname: org : 0
++     106:00000000 01101010: 00000000 : 00:000 > dsname: org : 0
++     107:00000000 01101011: 00000000 : 00:000 > dsname: org : 0
++     108:00000000 01101100: 00000000 : 00:000 > dsname: org : 0
++     109:00000000 01101101: 00000000 : 00:000 > dsname: org : 0
++     110:00000000 01101110: 00000000 : 00:000 > dsname: org : 0
++     111:00000000 01101111: 00000000 : 00:000 > dsname: org : 0
++     112:00000000 01110000: 00000000 : 00:000 > dsname: org : 0
++     113:00000000 01110001: 00000000 : 00:000 > dsname: org : 0
++     114:00000000 01110010: 00000000 : 00:000 > dsname: org : 0
++     115:00000000 01110011: 00000000 : 00:000 > dsname: org : 0
++     116:00000000 01110100: 00000000 : 00:000 > dsname: org : 0
++     117:00000000 01110101: 00000000 : 00:000 > dsname: org : 0
++     118:00000000 01110110: 00000000 : 00:000 > dsname: org : 0
++     119:00000000 01110111: 00000000 : 00:000 > dsname: org : 0
++     120:00000000 01111000: 00000000 : 00:000 > dsname: org : 0
++     121:00000000 01111001: 00000000 : 00:000 > dsname: org : 0
++     122:00000000 01111010: 00000000 : 00:000 > dsname: org : 0
++     123:00000000 01111011: 00000000 : 00:000 > dsname: org : 0
++     124:00000000 01111100: 00000000 : 00:000 > dsname: org : 0
++     125:00000000 01111101: 00000000 : 00:000 > dsname: org : 0
++     126:00000000 01111110: 00000000 : 00:000 > dsname: org : 0
++     127:00000000 01111111: 00000000 : 00:000 > dsname: org : 0
++     128:00000000 10000000: 00001101 : 0D:015 > dbbyte: 13
++     129:00000000 10000001: 00001010 : 0A:012 > dbbyte: 10
++     130:00000000 10000010: 00110001 : 31:061 > databyte:  : 1 : 49
++     131:00000000 10000011: 00100000 : 20:040 > dbbyte: 32
++     132:00000000 10000100: 00100000 : 20:040 > dbbyte: 32
++     133:00000000 10000101: 00100000 : 20:040 > dbbyte: 32
++     134:00000000 10000110: 00100000 : 20:040 > dbbyte: 32
++     135:00000000 10000111: 00100000 : 20:040 > dbbyte: 32
++     136:00000000 10001000: 00110001 : 31:061 > databyte:  : 1 : 49
++     137:00000000 10001001: 00100000 : 20:040 > dbbyte: 32
++     138:00000000 10001010: 00100000 : 20:040 > dbbyte: 32
++     139:00000000 10001011: 00100000 : 20:040 > dbbyte: 32
++     140:00000000 10001100: 00100000 : 20:040 > dbbyte: 32
++     141:00000000 10001101: 00100000 : 20:040 > dbbyte: 32
++     142:00000000 10001110: 00110001 : 31:061 > databyte:  : 1 : 49
++     143:00000000 10001111: 00100000 : 20:040 > dbbyte: 32
++     144:00000000 10010000: 00100000 : 20:040 > dbbyte: 32
++     145:00000000 10010001: 00100000 : 20:040 > dbbyte: 32
++     146:00000000 10010010: 00100000 : 20:040 > dbbyte: 32
++     147:00000000 10010011: 00100000 : 20:040 > dbbyte: 32
++     148:00000000 10010100: 00110001 : 31:061 > databyte:  : 1 : 49
++     149:00000000 10010101: 00100000 : 20:040 > dbbyte: 32
++     150:00000000 10010110: 00100000 : 20:040 > dbbyte: 32
++     151:00000000 10010111: 00100000 : 20:040 > dbbyte: 32
++     152:00000000 10011000: 00100000 : 20:040 > dbbyte: 32
++     153:00000000 10011001: 00100000 : 20:040 > dbbyte: 32
++     154:00000000 10011010: 00110001 : 31:061 > databyte:  : 1 : 49
++     155:00000000 10011011: 00100000 : 20:040 > dbbyte: 32
++     156:00000000 10011100: 00100000 : 20:040 > dbbyte: 32
++     157:00000000 10011101: 00100000 : 20:040 > dbbyte: 32
++     158:00000000 10011110: 00100000 : 20:040 > dbbyte: 32
++     159:00000000 10011111: 00100000 : 20:040 > dbbyte: 32
++     160:00000000 10100000: 00110001 : 31:061 > databyte:  : 1 : 49
++     161:00000000 10100001: 00100000 : 20:040 > dbbyte: 32
++     162:00000000 10100010: 00100000 : 20:040 > dbbyte: 32
++     163:00000000 10100011: 00100000 : 20:040 > dbbyte: 32
++     164:00000000 10100100: 00100000 : 20:040 > dbbyte: 32
++     165:00000000 10100101: 00100000 : 20:040 > dbbyte: 32
++     166:00000000 10100110: 00110001 : 31:061 > databyte:  : 1 : 49
++     167:00000000 10100111: 00100000 : 20:040 > dbbyte: 32
++     168:00000000 10101000: 00100000 : 20:040 > dbbyte: 32
++     169:00000000 10101001: 00100000 : 20:040 > dbbyte: 32
++     170:00000000 10101010: 00100000 : 20:040 > dbbyte: 32
++     171:00000000 10101011: 00100000 : 20:040 > dbbyte: 32
++     172:00000000 10101100: 00110001 : 31:061 > databyte:  : 1 : 49
++     173:00000000 10101101: 00100000 : 20:040 > dbbyte: 32
++     174:00000000 10101110: 00100000 : 20:040 > dbbyte: 32
++     175:00000000 10101111: 00100000 : 20:040 > dbbyte: 32
++     176:00000000 10110000: 00100000 : 20:040 > dbbyte: 32
++     177:00000000 10110001: 00100000 : 20:040 > dbbyte: 32
++     178:00000000 10110010: 00110001 : 31:061 > databyte:  : 1 : 49
++     179:00000000 10110011: 00000000 : 00:000 > dsname: org : 0
++     180:00000000 10110100: 00000000 : 00:000 > dsname: org : 0
++     181:00000000 10110101: 00000000 : 00:000 > dsname: org : 0
++     182:00000000 10110110: 00000000 : 00:000 > dsname: org : 0
++     183:00000000 10110111: 00000000 : 00:000 > dsname: org : 0
++     184:00000000 10111000: 00000000 : 00:000 > dsname: org : 0
++     185:00000000 10111001: 00000000 : 00:000 > dsname: org : 0
++     186:00000000 10111010: 00000000 : 00:000 > dsname: org : 0
++     187:00000000 10111011: 00000000 : 00:000 > dsname: org : 0
++     188:00000000 10111100: 00000000 : 00:000 > dsname: org : 0
++     189:00000000 10111101: 00000000 : 00:000 > dsname: org : 0
++     190:00000000 10111110: 00000000 : 00:000 > dsname: org : 0
++     191:00000000 10111111: 00000000 : 00:000 > dsname: org : 0
++     192:00000000 11000000: 00000000 : 00:000 > dsname: org : 0
++     193:00000000 11000001: 00000000 : 00:000 > dsname: org : 0
++     194:00000000 11000010: 00000000 : 00:000 > dsname: org : 0
++     195:00000000 11000011: 00000000 : 00:000 > dsname: org : 0
++     196:00000000 11000100: 00000000 : 00:000 > dsname: org : 0
++     197:00000000 11000101: 00000000 : 00:000 > dsname: org : 0
++     198:00000000 11000110: 00000000 : 00:000 > dsname: org : 0
++     199:00000000 11000111: 00000000 : 00:000 > dsname: org : 0
++     200:00000000 11001000: 00000000 : 00:000 > dsname: org : 0
++     201:00000000 11001001: 00000000 : 00:000 > dsname: org : 0
++     202:00000000 11001010: 00000000 : 00:000 > dsname: org : 0
++     203:00000000 11001011: 00000000 : 00:000 > dsname: org : 0
++     204:00000000 11001100: 00000000 : 00:000 > dsname: org : 0
++     205:00000000 11001101: 00000000 : 00:000 > dsname: org : 0
++     206:00000000 11001110: 00000000 : 00:000 > dsname: org : 0
++     207:00000000 11001111: 00000000 : 00:000 > dsname: org : 0
++     208:00000000 11010000: 00000000 : 00:000 > dsname: org : 0
++     209:00000000 11010001: 00000000 : 00:000 > dsname: org : 0
++     210:00000000 11010010: 00000000 : 00:000 > dsname: org : 0
++     211:00000000 11010011: 00000000 : 00:000 > dsname: org : 0
++     212:00000000 11010100: 00000000 : 00:000 > dsname: org : 0
++     213:00000000 11010101: 00000000 : 00:000 > dsname: org : 0
++     214:00000000 11010110: 00000000 : 00:000 > dsname: org : 0
++     215:00000000 11010111: 00000000 : 00:000 > dsname: org : 0
++     216:00000000 11011000: 00000000 : 00:000 > dsname: org : 0
++     217:00000000 11011001: 00000000 : 00:000 > dsname: org : 0
++     218:00000000 11011010: 00000000 : 00:000 > dsname: org : 0
++     219:00000000 11011011: 00000000 : 00:000 > dsname: org : 0
++     220:00000000 11011100: 00000000 : 00:000 > dsname: org : 0
++     221:00000000 11011101: 00000000 : 00:000 > dsname: org : 0
++     222:00000000 11011110: 00000000 : 00:000 > dsname: org : 0
++     223:00000000 11011111: 00000000 : 00:000 > dsname: org : 0
++     224:00000000 11100000: 00000000 : 00:000 > dsname: org : 0
++     225:00000000 11100001: 00000000 : 00:000 > dsname: org : 0
++     226:00000000 11100010: 00000000 : 00:000 > dsname: org : 0
++     227:00000000 11100011: 00000000 : 00:000 > dsname: org : 0
++     228:00000000 11100100: 00000000 : 00:000 > dsname: org : 0
++     229:00000000 11100101: 00000000 : 00:000 > dsname: org : 0
++     230:00000000 11100110: 00000000 : 00:000 > dsname: org : 0
++     231:00000000 11100111: 00000000 : 00:000 > dsname: org : 0
++     232:00000000 11101000: 00000000 : 00:000 > dsname: org : 0
++     233:00000000 11101001: 00000000 : 00:000 > dsname: org : 0
++     234:00000000 11101010: 00000000 : 00:000 > dsname: org : 0
++     235:00000000 11101011: 00000000 : 00:000 > dsname: org : 0
++     236:00000000 11101100: 00000000 : 00:000 > dsname: org : 0
++     237:00000000 11101101: 00000000 : 00:000 > dsname: org : 0
++     238:00000000 11101110: 00000000 : 00:000 > dsname: org : 0
++     239:00000000 11101111: 00000000 : 00:000 > dsname: org : 0
++     240:00000000 11110000: 00000000 : 00:000 > dsname: org : 0
++     241:00000000 11110001: 00000000 : 00:000 > dsname: org : 0
++     242:00000000 11110010: 00000000 : 00:000 > dsname: org : 0
++     243:00000000 11110011: 00000000 : 00:000 > dsname: org : 0
++     244:00000000 11110100: 00000000 : 00:000 > dsname: org : 0
++     245:00000000 11110101: 00000000 : 00:000 > dsname: org : 0
++     246:00000000 11110110: 00000000 : 00:000 > dsname: org : 0
++     247:00000000 11110111: 00000000 : 00:000 > dsname: org : 0
++     248:00000000 11111000: 00000000 : 00:000 > dsname: org : 0
++     249:00000000 11111001: 00000000 : 00:000 > dsname: org : 0
++     250:00000000 11111010: 00000000 : 00:000 > dsname: org : 0
++     251:00000000 11111011: 00000000 : 00:000 > dsname: org : 0
++     252:00000000 11111100: 00000000 : 00:000 > dsname: org : 0
++     253:00000000 11111101: 00000000 : 00:000 > dsname: org : 0
++     254:00000000 11111110: 00000000 : 00:000 > dsname: org : 0
++     255:00000000 11111111: 00000000 : 00:000 > dsname: org : 0
++     256:00000001 00000000: 00001101 : 0D:015 > dbbyte: 13
++     257:00000001 00000001: 00001010 : 0A:012 > dbbyte: 10
++     258:00000001 00000010: 01000100 : 44:104 > databyte:  : D : 68
++     259:00000001 00000011: 01001111 : 4F:117 > databyte:  : O : 79
++     260:00000001 00000100: 00100000 : 20:040 > databyte:  :   : 32
++     261:00000001 00000101: 01011001 : 59:131 > databyte:  : Y : 89
++     262:00000001 00000110: 01001111 : 4F:117 > databyte:  : O : 79
++     263:00000001 00000111: 01010101 : 55:125 > databyte:  : U : 85
++     264:00000001 00001000: 00100000 : 20:040 > databyte:  :   : 32
++     265:00000001 00001001: 01010111 : 57:127 > databyte:  : W : 87
++     266:00000001 00001010: 01000001 : 41:101 > databyte:  : A : 65
++     267:00000001 00001011: 01001110 : 4E:116 > databyte:  : N : 78
++     268:00000001 00001100: 01010100 : 54:124 > databyte:  : T : 84
++     269:00000001 00001101: 00100000 : 20:040 > databyte:  :   : 32
++     270:00000001 00001110: 01010100 : 54:124 > databyte:  : T : 84
++     271:00000001 00001111: 01001111 : 4F:117 > databyte:  : O : 79
++     272:00000001 00010000: 00100000 : 20:040 > databyte:  :   : 32
++     273:00000001 00010001: 01000111 : 47:107 > databyte:  : G : 71
++     274:00000001 00010010: 01001111 : 4F:117 > databyte:  : O : 79
++     275:00000001 00010011: 00100000 : 20:040 > databyte:  :   : 32
++     276:00000001 00010100: 01001111 : 4F:117 > databyte:  : O : 79
++     277:00000001 00010101: 01001110 : 4E:116 > databyte:  : N : 78
++     278:00000001 00010110: 00100000 : 20:040 > databyte:  :   : 32
++     279:00000001 00010111: 01000001 : 41:101 > databyte:  : A : 65
++     280:00000001 00011000: 00100000 : 20:040 > databyte:  :   : 32
++     281:00000001 00011001: 01010011 : 53:123 > databyte:  : S : 83
++     282:00000001 00011010: 01010000 : 50:120 > databyte:  : P : 80
++     283:00000001 00011011: 01000001 : 41:101 > databyte:  : A : 65
++     284:00000001 00011100: 01000011 : 43:103 > databyte:  : C : 67
++     285:00000001 00011101: 01000101 : 45:105 > databyte:  : E : 69
++     286:00000001 00011110: 00100000 : 20:040 > databyte:  :   : 32
++     287:00000001 00011111: 01010110 : 56:126 > databyte:  : V : 86
++     288:00000001 00100000: 01001111 : 4F:117 > databyte:  : O : 79
++     289:00000001 00100001: 01011001 : 59:131 > databyte:  : Y : 89
++     290:00000001 00100010: 01000001 : 41:101 > databyte:  : A : 65
++     291:00000001 00100011: 01000111 : 47:107 > databyte:  : G : 71
++     292:00000001 00100100: 01000101 : 45:105 > databyte:  : E : 69
++     293:00000001 00100101: 00111111 : 3F:077 > databyte:  : ? : 63
++     294:00000001 00100110: 00100000 : 20:040 > databyte:  :   : 32
++     295:00000001 00100111: 00000000 : 00:000 > dbbyte: 0
++     296:00000001 00101000: 00001101 : 0D:015 > dbbyte: 13
++     297:00000001 00101001: 00001010 : 0A:012 > dbbyte: 10
++     298:00000001 00101010: 01011001 : 59:131 > databyte:  : Y : 89
++     299:00000001 00101011: 01001111 : 4F:117 > databyte:  : O : 79
++     300:00000001 00101100: 01010101 : 55:125 > databyte:  : U : 85
++     301:00000001 00101101: 00100000 : 20:040 > databyte:  :   : 32
++     302:00000001 00101110: 01001101 : 4D:115 > databyte:  : M : 77
++     303:00000001 00101111: 01010101 : 55:125 > databyte:  : U : 85
++     304:00000001 00110000: 01010011 : 53:123 > databyte:  : S : 83
++     305:00000001 00110001: 01010100 : 54:124 > databyte:  : T : 84
++     306:00000001 00110010: 00100000 : 20:040 > databyte:  :   : 32
++     307:00000001 00110011: 01000100 : 44:104 > databyte:  : D : 68
++     308:00000001 00110100: 01000101 : 45:105 > databyte:  : E : 69
++     309:00000001 00110101: 01010011 : 53:123 > databyte:  : S : 83
++     310:00000001 00110110: 01010100 : 54:124 > databyte:  : T : 84
++     311:00000001 00110111: 01010010 : 52:122 > databyte:  : R : 82
++     312:00000001 00111000: 01001111 : 4F:117 > databyte:  : O : 79
++     313:00000001 00111001: 01011001 : 59:131 > databyte:  : Y : 89
++     314:00000001 00111010: 00100000 : 20:040 > databyte:  :   : 32
++     315:00000001 00111011: 00100000 : 20:040 > databyte:  :   : 32
++     316:00000001 00111100: 00100000 : 20:040 > databyte:  :   : 32
++     317:00000001 00111101: 00100000 : 20:040 > databyte:  :   : 32
++     318:00000001 00111110: 01000001 : 41:101 > databyte:  : A : 65
++     319:00000001 00111111: 01001100 : 4C:114 > databyte:  : L : 76
++     320:00000001 01000000: 01001001 : 49:111 > databyte:  : I : 73
++     321:00000001 01000001: 01000101 : 45:105 > databyte:  : E : 69
++     322:00000001 01000010: 01001110 : 4E:116 > databyte:  : N : 78
++     323:00000001 01000011: 00100000 : 20:040 > databyte:  :   : 32
++     324:00000001 01000100: 01010011 : 53:123 > databyte:  : S : 83
++     325:00000001 01000101: 01001000 : 48:110 > databyte:  : H : 72
++     326:00000001 01000110: 01001001 : 49:111 > databyte:  : I : 73
++     327:00000001 01000111: 01010000 : 50:120 > databyte:  : P : 80
++     328:00000001 01001000: 01010011 : 53:123 > databyte:  : S : 83
++     329:00000001 01001001: 00100000 : 20:040 > databyte:  :   : 32
++     330:00000001 01001010: 01001001 : 49:111 > databyte:  : I : 73
++     331:00000001 01001011: 01001110 : 4E:116 > databyte:  : N : 78
++     332:00000001 01001100: 00100000 : 20:040 > databyte:  :   : 32
++     333:00000001 01001101: 00100000 : 20:040 > databyte:  :   : 32
++     334:00000001 01001110: 00100000 : 20:040 > databyte:  :   : 32
++     335:00000001 01001111: 00100000 : 20:040 > databyte:  :   : 32
++     336:00000001 01010000: 01010011 : 53:123 > databyte:  : S : 83
++     337:00000001 01010001: 01010100 : 54:124 > databyte:  : T : 84
++     338:00000001 01010010: 01000001 : 41:101 > databyte:  : A : 65
++     339:00000001 01010011: 01010010 : 52:122 > databyte:  : R : 82
++     340:00000001 01010100: 01000100 : 44:104 > databyte:  : D : 68
++     341:00000001 01010101: 01000001 : 41:101 > databyte:  : A : 65
++     342:00000001 01010110: 01010100 : 54:124 > databyte:  : T : 84
++     343:00000001 01010111: 01000101 : 45:105 > databyte:  : E : 69
++     344:00000001 01011000: 01010011 : 53:123 > databyte:  : S : 83
++     345:00000001 01011001: 00100000 : 20:040 > databyte:  :   : 32
++     346:00000001 01011010: 01010111 : 57:127 > databyte:  : W : 87
++     347:00000001 01011011: 01001001 : 49:111 > databyte:  : I : 73
++     348:00000001 01011100: 01010100 : 54:124 > databyte:  : T : 84
++     349:00000001 01011101: 01001000 : 48:110 > databyte:  : H : 72
++     350:00000001 01011110: 00100000 : 20:040 > databyte:  :   : 32
++     351:00000001 01011111: 00100000 : 20:040 > databyte:  :   : 32
++     352:00000001 01100000: 00100000 : 20:040 > databyte:  :   : 32
++     353:00000001 01100001: 01010011 : 53:123 > databyte:  : S : 83
++     354:00000001 01100010: 01010000 : 50:120 > databyte:  : P : 80
++     355:00000001 01100011: 01000001 : 41:101 > databyte:  : A : 65
++     356:00000001 01100100: 01000011 : 43:103 > databyte:  : C : 67
++     357:00000001 01100101: 01000101 : 45:105 > databyte:  : E : 69
++     358:00000001 01100110: 00100000 : 20:040 > databyte:  :   : 32
++     359:00000001 01100111: 01010011 : 53:123 > databyte:  : S : 83
++     360:00000001 01101000: 01010100 : 54:124 > databyte:  : T : 84
++     361:00000001 01101001: 01000001 : 41:101 > databyte:  : A : 65
++     362:00000001 01101010: 01010100 : 54:124 > databyte:  : T : 84
++     363:00000001 01101011: 01001001 : 49:111 > databyte:  : I : 73
++     364:00000001 01101100: 01001111 : 4F:117 > databyte:  : O : 79
++     365:00000001 01101101: 01001110 : 4E:116 > databyte:  : N : 78
++     366:00000001 01101110: 01010011 : 53:123 > databyte:  : S : 83
++     367:00000001 01101111: 00000000 : 00:000 > dbbyte: 0
++     368:00000001 01110000: 00001101 : 0D:015 > dbbyte: 13
++     369:00000001 01110001: 00001010 : 0A:012 > dbbyte: 10
++     370:00000001 01110010: 00100000 : 20:040 > databyte:  :   : 32
++     371:00000001 01110011: 00101101 : 2D:055 > databyte:  : - : 45
++     372:00000001 01110100: 00110001 : 31:061 > databyte:  : 1 : 49
++     373:00000001 01110101: 00101101 : 2D:055 > databyte:  : - : 45
++     374:00000001 01110110: 00101101 : 2D:055 > databyte:  : - : 45
++     375:00000001 01110111: 00110010 : 32:062 > databyte:  : 2 : 50
++     376:00000001 01111000: 00101101 : 2D:055 > databyte:  : - : 45
++     377:00000001 01111001: 00101101 : 2D:055 > databyte:  : - : 45
++     378:00000001 01111010: 00110011 : 33:063 > databyte:  : 3 : 51
++     379:00000001 01111011: 00101101 : 2D:055 > databyte:  : - : 45
++     380:00000001 01111100: 00101101 : 2D:055 > databyte:  : - : 45
++     381:00000001 01111101: 00110100 : 34:064 > databyte:  : 4 : 52
++     382:00000001 01111110: 00101101 : 2D:055 > databyte:  : - : 45
++     383:00000001 01111111: 00101101 : 2D:055 > databyte:  : - : 45
++     384:00000001 10000000: 00110101 : 35:065 > databyte:  : 5 : 53
++     385:00000001 10000001: 00101101 : 2D:055 > databyte:  : - : 45
++     386:00000001 10000010: 00101101 : 2D:055 > databyte:  : - : 45
++     387:00000001 10000011: 00110110 : 36:066 > databyte:  : 6 : 54
++     388:00000001 10000100: 00101101 : 2D:055 > databyte:  : - : 45
++     389:00000001 10000101: 00101101 : 2D:055 > databyte:  : - : 45
++     390:00000001 10000110: 00110111 : 37:067 > databyte:  : 7 : 55
++     391:00000001 10000111: 00101101 : 2D:055 > databyte:  : - : 45
++     392:00000001 10001000: 00101101 : 2D:055 > databyte:  : - : 45
++     393:00000001 10001001: 00111000 : 38:070 > databyte:  : 8 : 56
++     394:00000001 10001010: 00101101 : 2D:055 > databyte:  : - : 45
++     395:00000001 10001011: 00000000 : 00:000 > dbbyte: 0
++     396:00000001 10001100: 00001101 : 0D:015 > dbbyte: 13
++     397:00000001 10001101: 00001010 : 0A:012 > dbbyte: 10
++     398:00000001 10001110: 00110000 : 30:060 > databyte:  : 0 : 48
++     399:00000001 10001111: 00100000 : 20:040 > databyte:  :   : 32
++     400:00000001 10010000: 00100000 : 20:040 > databyte:  :   : 32
++     401:00000001 10010001: 00100000 : 20:040 > databyte:  :   : 32
++     402:00000001 10010010: 00100000 : 20:040 > databyte:  :   : 32
++     403:00000001 10010011: 00100000 : 20:040 > databyte:  :   : 32
++     404:00000001 10010100: 00100000 : 20:040 > databyte:  :   : 32
++     405:00000001 10010101: 00100000 : 20:040 > databyte:  :   : 32
